Rank,Player,GP,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF
127,Reggie Jackson (OKC),70,7.2,15.7,45.80%,1.2,5,23.10%,2.5,3,83.90%,1,7,8,5.9,1.4,0.6,2.6,4.1,18.1,22.5
128,Jason Terry (BOS),79,6.4,14.6,43.40%,2.8,7.5,37.20%,2.6,3,87.00%,0.4,3.2,3.6,4.5,1.5,0.3,2.3,2.5,18.1,16.9
129,Andre Iguodala (DEN),80,6.8,15.2,45.10%,1.6,5,31.70%,2.7,4.7,57.40%,1.4,5.9,7.3,7.5,2.4,0.9,3.6,2.2,17.9,22.1
130,Tristan Thompson (CLE),82,7.3,15,48.80%,0,0.1,0.00%,3.3,5.4,60.80%,5.7,8.7,14.5,2,1.1,1.3,2.3,4.4,17.9,24.8
131,Marco Belinelli (CHI),73,6.1,15.6,39.50%,2,5.6,35.70%,3.6,4.3,83.90%,0.3,3.2,3.6,3.8,1.1,0.1,2.1,3.6,17.9,14.3
132,Nicolas Batum (POR),73,6,14.2,42.30%,2.8,7.6,37.20%,3,3.6,84.80%,1.7,5.4,7,6.2,1.6,1.4,3.3,2.4,17.9,22.1
133,Emeka Okafor (WAS),79,7.7,16.1,47.70%,0,0,0.00%,2.5,4.5,57.10%,4.7,11.5,16.2,2.2,1.1,1.8,2.5,3.4,17.9,26.3
134,Jodie Meeks (LAL),78,5.9,15.3,38.70%,3.5,9.9,35.70%,2.5,2.8,89.60%,1.1,3.9,4.9,2,1.7,0.1,1.5,3,17.8,15.4
135,Wayne Ellington (CLE),78,6.5,15.3,42.70%,2.7,6.9,39.20%,2,2.2,90.70%,0.7,4.1,4.8,3,1.3,0.1,1.6,2.3,17.7,16.3
136,Metta World Peace (LAL),75,6.3,15.6,40.30%,2.7,7.8,34.20%,2.4,3.2,73.40%,1.9,5.1,7.1,2.1,2.3,0.8,1.9,3.8,17.6,17.9
137,Andre Miller (DEN),82,6.8,14.1,47.90%,0.4,1.4,26.60%,3.6,4.3,84.00%,1.3,4,5.3,10.8,1.6,0.3,3.8,3.5,17.5,23.7
138,Markieff Morris (PHX),82,7,17.1,40.70%,1.2,3.5,33.60%,2.4,3.3,73.20%,3.4,6.9,10.3,2.8,2,1.7,2.7,5.5,17.5,20.6
